vehicle_index,space,time,speed,speed_diff
1120.0,0.625395918218155,4586.0,6.959867683855613,0.4042459093420314
1120.0,0.6272512093241932,4587.0,6.361184712269151,0.5986829715864621
1120.0,0.628921138956949,4588.0,5.668165563775016,0.6930191484941348
1120.0,0.6304146670807412,4589.0,5.12870400567755,0.5394615580974662
1120.0,0.6317997411959135,4590.0,4.908559725238479,0.22014428043907053
1120.0,0.6331850362610214,4591.0,5.1414763741540135,0.2329166489155341
1120.0,0.6346871756842076,4592.0,5.709717444289189,0.5682410701351754
1120.0,0.6363657970666676,4593.0,6.3719973704212425,0.6622799261320536
1120.0,0.6382142304866926,4594.0,6.8955527271542465,0.523555356733004
1120.0,0.640176667154902,4595.0,7.210805903417702,0.3152531762634556
1120.0,0.6422061714406596,4596.0,7.373162324738973,0.16235642132127115
1120.0,0.6442547532997835,4597.0,7.339998154974981,0.03316416976399239
1120.0,0.6462622315033483,4598.0,7.074324980009786,0.2656731749651948
1120.0,0.6481669812615752,4599.0,6.613311048268177,0.46101393174160865
1120.0,0.6499219355321532,4600.0,5.998091611164867,0.6152194371033106
1120.0,0.6514846102040645,4601.0,5.223939626508786,0.7741519846560809
1120.0,0.652808469681453,4602.0,4.279068767009426,0.9448708594993596
1120.0,0.6538373996827737,4603.0,3.087525366372838,1.1915434006365881
1120.0,0.6545157288213757,4604.0,1.8048710639261558,1.2826543024466823
1120.0,0.6548548444193133,4605.0,0.6797569468614221,1.1251141170647339
1120.0,0.654930381512566,4606.0,0.0,0.6797569468614221
1120.0,0.654930381512566,4607.0,0.0,0.0
1120.0,0.654930381512566,4608.0,0.0,0.0
1120.0,0.654930381512566,4609.0,0.0,0.0
1120.0,0.654930381512566,4610.0,0.0,0.0
1120.0,0.654930381512566,4611.0,0.0,0.0
1120.0,0.654930381512566,4612.0,0.0,0.0
1120.0,0.654930381512566,4613.0,0.0,0.0
1120.0,0.654930381512566,4614.0,0.0,0.0
1120.0,0.654930381512566,4615.0,0.0,0.0
1120.0,0.654930381512566,4616.0,0.0,0.0
1120.0,0.654930381512566,4617.0,0.0,0.0
1120.0,0.654930381512566,4618.0,0.0,0.0
1120.0,0.654930381512566,4619.0,0.0,0.0
1120.0,0.6549592469211091,4620.0,0.22317888276274198,0.22317888276274198
1120.0,0.6550597873258424,4621.0,0.5098642726357149,0.2866853898729729
1120.0,0.6552479225131826,4622.0,0.85531681906417,0.34545254642845513
1120.0,0.655529509163287,4623.0,1.1546661619523872,0.29934934288821724
1120.0,0.6558944091285214,4624.0,1.5085828439915046,0.3539166820391173
1120.0,0.6564030846897826,4625.0,2.247370247781445,0.7387874037899402
1120.0,0.6572119488378296,4626.0,3.731670524591789,1.4843002768103442
1120.0,0.6585792447382995,4627.0,6.302490756100012,2.5708202315082227
1120.0,0.6608011223283954,4628.0,9.812524464849993,3.5100337087499813
1120.0,0.6640659823789078,4629.0,13.700036139513712,3.8875116746637186
1120.0,0.6683847525891119,4630.0,17.303145939423693,3.6031097999099817
1120.0,0.6736169263170053,4631.0,20.26102104439298,2.957875104969286
1120.0,0.6795807822915512,4632.0,22.574637557792105,2.3136165133991256
1120.0,0.6861087719510996,4633.0,24.357046008533196,1.7824084507410909
1120.0,0.6930807824361587,4634.0,25.773119432039213,1.4160734235060168
